profession,platform,usage_score
3,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,3
7,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,1
7,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,1
7,mood_disorder,3
0,mood_disorder,1
7,mood_disorder,1
7,mood_disorder,3
0,mood_disorder,3
7,mood_disorder,5
0,mood_disorder,5
7,mood_disorder,4
7,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,5
7,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,1
6,mood_disorder,1
0,mood_disorder,5
10,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,4
6,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,3
8,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,3
8,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,1
7,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,5
1,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,1
6,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,4
6,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,4
1,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,5
0,mood_disorder,3
8,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,5
6,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,5
6,mood_disorder,4
6,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,1
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,4
0,mood_disorder,2
0,mood_disorder,5
