date,depression,anxiety,social media
2022-03-12,33,39,29
2022-03-13,35,40,30
2022-03-14,37,42,37
2022-03-15,37,42,37
2022-03-16,37,44,36
2022-03-17,36,43,36
2022-03-18,34,41,33
2022-03-19,31,40,26
2022-03-20,34,41,29
2022-03-21,39,44,38
2022-03-22,38,46,36
2022-03-23,38,44,36
2022-03-24,38,41,37
2022-03-25,40,41,35
2022-03-26,34,38,28
2022-03-27,36,42,29
2022-03-28,42,44,41
2022-03-29,46,44,42
2022-03-30,41,45,38
2022-03-31,42,45,39
2022-04-01,37,41,34
2022-04-02,32,38,28
2022-04-03,36,42,32
2022-04-04,43,44,41
2022-04-05,42,44,39
2022-04-06,42,47,40
2022-04-07,43,42,38
2022-04-08,38,41,34
2022-04-09,31,38,27
2022-04-10,34,40,30
2022-04-11,41,45,36
2022-04-12,38,43,35
2022-04-13,36,40,35
2022-04-14,39,41,34
2022-04-15,32,39,29
2022-04-16,31,42,27
2022-04-17,32,38,28
2022-04-18,41,45,37
2022-04-19,42,46,39
2022-04-20,42,44,39
2022-04-21,41,46,39
2022-04-22,38,43,35
2022-04-23,34,40,28
2022-04-24,35,39,30
2022-04-25,41,46,42
2022-04-26,40,46,44
2022-04-27,42,45,44
2022-04-28,42,44,41
2022-04-29,40,42,35
2022-04-30,37,38,28
2022-05-01,35,40,29
2022-05-02,48,45,37
2022-05-03,47,45,38
2022-05-04,46,44,39
2022-05-05,43,42,36
2022-05-06,35,40,32
2022-05-07,32,37,29
2022-05-08,31,37,29
2022-05-09,41,45,39
2022-05-10,37,43,39
2022-05-11,43,46,43
2022-05-12,37,41,36
2022-05-13,35,38,31
2022-05-14,29,35,27
2022-05-15,32,37,28
2022-05-16,37,43,34
2022-05-17,37,41,36
2022-05-18,37,40,36
2022-05-19,37,40,37
2022-05-20,34,37,31
2022-05-21,30,34,24
2022-05-22,32,37,27
2022-05-23,38,41,35
2022-05-24,36,40,37
2022-05-25,34,40,36
2022-05-26,34,40,34
2022-05-27,32,37,30
2022-05-28,27,34,24
2022-05-29,30,38,26
2022-05-30,31,38,31
2022-05-31,33,39,33
2022-06-01,33,37,33
2022-06-02,33,39,33
2022-06-03,31,35,30
2022-06-04,29,36,23
2022-06-05,31,39,26
2022-06-06,34,40,33
2022-06-07,33,41,35
2022-06-08,33,41,34
2022-06-09,33,40,32
2022-06-10,31,37,29
2022-06-11,28,35,24
2022-06-12,31,39,25
2022-06-13,34,41,31
2022-06-14,34,43,32
2022-06-15,32,39,32
2022-06-16,33,39,31
2022-06-17,28,35,29
2022-06-18,28,36,23
2022-06-19,31,35,26
2022-06-20,31,39,31
2022-06-21,32,39,32
2022-06-22,31,38,31
2022-06-23,30,38,29
2022-06-24,29,37,29
2022-06-25,29,35,24
2022-06-26,30,37,27
2022-06-27,31,40,30
2022-06-28,29,39,28
2022-06-29,28,38,28
2022-06-30,28,38,31
2022-07-01,60,82,58
2022-07-02,56,76,51
2022-07-03,68,85,51
2022-07-04,62,81,62
2022-07-05,64,87,66
2022-07-06,65,89,67
2022-07-07,66,86,62
2022-07-08,63,80,56
2022-07-09,57,81,45
2022-07-10,63,87,49
2022-07-11,67,95,62
2022-07-12,63,88,60
2022-07-13,66,86,66
2022-07-14,66,88,64
2022-07-15,61,83,58
2022-07-16,58,81,48
2022-07-17,66,83,51
2022-07-18,65,92,62
2022-07-19,64,90,63
2022-07-20,66,89,62
2022-07-21,67,92,63
2022-07-22,67,83,58
2022-07-23,65,81,50
2022-07-24,67,82,51
2022-07-25,71,91,65
2022-07-26,70,94,67
2022-07-27,70,88,63
2022-07-28,70,88,63
2022-07-29,62,81,57
2022-07-30,61,76,49
2022-07-31,64,84,52
2022-08-01,66,89,66
2022-08-02,64,86,68
2022-08-03,66,89,67
2022-08-04,64,88,63
2022-08-05,60,83,58
2022-08-06,56,77,51
2022-08-07,64,82,50
2022-08-08,60,88,61
2022-08-09,64,90,64
2022-08-10,62,88,63
2022-08-11,61,89,58
2022-08-12,63,90,58
2022-08-13,57,79,49
2022-08-14,62,86,55
2022-08-15,66,91,63
2022-08-16,67,91,66
2022-08-17,66,90,66
2022-08-18,63,87,64
2022-08-19,61,85,60
2022-08-20,60,81,54
2022-08-21,66,86,55
2022-08-22,67,89,70
2022-08-23,68,93,70
2022-08-24,66,96,72
2022-08-25,68,90,67
2022-08-26,62,85,67
2022-08-27,58,78,55
2022-08-28,64,84,52
2022-08-29,68,93,68
2022-08-30,69,91,71
2022-08-31,67,93,74
2022-09-01,68,91,71
2022-09-02,61,84,65
2022-09-03,58,77,53
2022-09-04,64,81,55
2022-09-05,65,79,63
2022-09-06,68,93,71
2022-09-07,70,97,72
2022-09-08,69,90,74
2022-09-09,66,84,67
2022-09-10,59,79,53
2022-09-11,64,84,61
2022-09-12,72,96,74
2022-09-13,72,93,75
2022-09-14,74,91,74
2022-09-15,72,88,74
2022-09-16,66,84,64
2022-09-17,62,77,56
2022-09-18,64,78,60
2022-09-19,72,94,74
2022-09-20,72,93,76
2022-09-21,74,100,80
2022-09-22,77,93,78
2022-09-23,93,81,65
2022-09-24,83,78,59
2022-09-25,74,82,57
2022-09-26,77,95,72
2022-09-27,75,87,75
2022-09-28,76,91,77
2022-09-29,77,90,76
2022-09-30,73,81,62
2022-10-01,62,77,54
